movieId,timestamp
101,2024-06-28 10:00:01
101,2024-06-28 10:00:02
102,2024-06-28 10:00:03
105,2024-06-28 10:00:05
101,2024-06-28 10:00:06
105,2024-06-28 10:00:07
102,2024-06-28 10:00:08
101,2024-06-28 10:00:09
101,2024-06-28 10:00:01
101,2024-06-28 10:00:02
102,2024-06-28 10:00:03
105,2024-06-28 10:00:05
101,2024-06-28 10:00:06
105,2024-06-28 10:00:07
102,2024-06-28 10:00:08
101,2024-06-28 10:00:09
101,2024-06-28 10:00:01
101,2024-06-28 10:00:02
102,2024-06-28 10:00:03
101,2024-06-28 10:00:01
101,2024-06-28 10:00:02
102,2024-06-28 10:00:03
105,2024-06-28 10:00:05
101,2024-06-28 10:00:06
105,2024-06-28 10:00:07
102,2024-06-28 10:00:08
101,2024-06-28 10:00:09
101,2024-06-28 10:00:01
101,2024-06-28 10:00:02
102,2024-06-28 10:00:03